defendant_zip,total_filed,total_default,total_judgment,total_plaintiff_won,total_immediate,median_principal,n_d_attorney,cases_plaintiff_business
23463,14,4,5,5,5,1739.61,0,10
23464,5347,2126,2895,2879,2371,1519.6299999999999,12,4185
23465,4,1,2,2,1,8000,0,1
23466,1,0,0,0,0,0,0,1
23467,1,0,0,0,0,0,0,0
23471,1,1,1,1,1,2050,0,0
23473,1,1,1,1,0,0,0,0
23474,1,0,0,0,0,0,0,1
23476,1,1,1,1,0,3000,0,0
23480,5,2,2,2,0,4317.5,0,1
23481,1,0,0,0,0,0,0,1
23484,1,1,1,1,1,564.7,0,1
23487,563,197,235,235,179,1091.525,11,533
23488,3,2,3,3,2,7255,0,1
23500,3,1,1,1,1,786.58,0,3
23501,28,12,16,16,12,1745,0,14
23502,7313,2649,3412,3416,3134,1160,10,4911
23503,8044,2981,3946,3958,3192,1235,20,5621
23504,5813,1959,2721,2714,2417,1043.9,28,3694
23505,9135,3477,4516,4524,4243,1050,7,7486
23506,4,2,2,2,2,1425,0,0
23507,346,133,166,167,136,1400,3,291
23508,4375,1690,2091,2092,1732,1162.8,10,3726
23509,1790,589,846,849,682,1573,3,1213
23510,1932,591,705,712,681,1639,8,1268
23511,4,0,1,1,0,2250,0,2
23512,3,1,1,1,1,1125,0,2
23513,7292,2475,3325,3327,3105,1095,20,5814
23514,9,2,4,4,3,1187.5,0,7
23515,7,1,2,2,1,483.75,0,4
23516,1,1,1,1,1,1200,0,0
23517,1419,459,574,579,424,1500,2,1261
23518,4955,1963,2510,2510,2212,1230,14,3912
23519,7,2,4,4,5,2600,0,4
23523,1895,593,843,844,769,1250,9,1231
23525,2,1,2,2,1,655,0,1
23530,3,3,3,3,2,5000,0,2
23535,2,1,2,1,0,3217,1,2
23541,4,2,2,2,2,6047.47,0,4
23551,1,0,0,0,0,0,0,0
23562,3,2,2,2,2,1013.015,0,3
23564,2,1,1,1,1,0,0,2
23565,1,0,0,0,0,0,0,0
23573,3,2,2,2,2,7562.5,0,3
23574,1,0,0,0,0,0,0,1
23578,1,1,1,1,1,4275,0,0
23580,1,0,1,1,0,2400,0,1
23581,1,0,0,0,0,0,0,0
23598,1,0,0,0,0,0,0,0
23600,3,1,3,3,2,864.01,0,3
23601,7740,3608,4677,4670,3602,1004.04,41,7418
23602,9672,3848,5144,5134,4113,1385.955,59,8572
23603,466,172,254,255,182,1882,2,356
23604,11,3,6,6,4,2591.5299999999997,1,8
23605,5064,2099,2903,2901,2418,1366.71,58,4671
23606,8211,3513,4623,4625,3982,1310.375,36,7867
23607,10319,3971,5904,5905,4323,1000,137,8304
23608,13217,5837,7618,7610,6019,1074.6399999999999,52,12479
23609,9,3,4,4,4,1690,1,2
23610,2,1,1,1,1,4185,0,0
23633,2,1,1,1,1,37.9,0,2
23642,6,2,3,3,1,1194,0,6
23646,1,1,1,1,1,1475,0,0
23650,2,0,0,0,0,0,0,0
23651,8,2,3,3,3,4075,1,3
23661,1984,877,1238,1243,1073,1388,32,1477
23662,643,263,311,303,221,941.615,1,594
23663,3236,1388,1909,1907,1627,1212.6399999999999,61,2658
23664,1189,484,692,695,600,1426.1399999999999,13,1021
23665,21,6,15,15,14,1990.03,0,20
23666,13904,5547,7375,7375,6401,1494.75,258,12825
23667,5,0,1,1,1,0,0,0
23668,4,0,2,2,2,1132.07,0,4
23669,7849,3158,4330,4340,3644,1179.4,135,6835
23670,2,2,2,2,2,1754.085,0,2
23680,33,31,32,32,30,274,0,33
23690,693,396,481,480,372,700.5,0,637
23692,931,365,445,441,317,1177.34,3,847
23693,890,306,412,410,296,1593.27,6,786
23694,1,0,0,0,0,0,0,1
23696,23,6,13,13,6,1950,1,6
23701,4321,1969,2753,2749,2028,1199.1599999999999,18,3661
23702,3743,1838,2630,2622,1949,1168.5,15,3099
23703,5573,2628,3535,3528,2799,1328.46,14,4583
23704,6415,2413,3680,3678,2343,1350,63,4884
23705,31,8,15,15,7,2200,0,21
23706,3,2,2,2,0,14190,0,3
23707,2481,1009,1476,1469,969,1200,18,1683
23708,4,0,2,2,0,0,0,3
23709,1,0,0,0,0,0,0,0
23710,4,4,4,4,4,930.5,0,4
23740,3,2,3,3,3,790,0,3
23751,1,0,0,0,0,0,0,1
23800,2,1,2,2,1,1094,0,2
23801,36,4,12,12,2,1326,0,33
23802,2,1,2,2,1,1230,0,0
23803,10467,4265,6322,6302,4180,1396.225,94,8401
23804,19,7,9,9,5,1550,2,10
23805,5800,2392,3480,3479,2498,1278.58,29,5372
23806,8,2,5,5,3,690,0,6
23808,1,0,1,1,0,1560,0,1
23813,2,1,1,1,1,3300,0,1
23821,28,8,15,14,5,1000,0,4
23824,343,130,196,195,55,1662,4,212
23825,1,0,1,1,1,820,0,1
23827,73,28,44,33,9,1237.5,1,42
23828,10,2,7,7,1,1500,1,1
23829,18,2,8,7,2,1300,2,3
23830,31,7,18,19,5,1100,0,16
23831,4024,1389,1886,1876,1311,1659.09,33,3694
23832,1454,462,653,649,421,1545,19,730
23833,35,15,27,27,12,1800,1,16
23834,3200,1293,1849,1825,1300,1303,29,2703
23836,2098,711,891,885,710,1650,12,1963
23837,109,41,73,65,21,1550,3,32
23838,100,26,51,51,31,1300,6,36
23839,22,8,14,12,1,1775,0,6
23840,28,8,15,12,8,3000,2,10
23841,150,49,85,85,44,1396,0,103
23842,153,27,85,82,32,1514.365,0,86
23843,7,2,5,4,2,350,1,2
23844,87,32,44,33,1,1710.1,1,78
23845,1,0,0,0,0,0,0,1
23846,19,3,8,8,4,1750,2,5
23847,1025,287,653,652,249,1120,6,389
