NAME,total_filed24,total_filed2224,total_pop,housing_units,rental_units,rental_pop,pct_pov,total_burdened,total_moved,total_students,n_serial,n_cases_filed_by_businesses,total_plaintiffs,n_business_plaintiffs,n_plaintiffs_serial,landarea_sqmi,court,fips,GEOID,eviction_rate24,pct_rental_units,pct_burdened,exploit,pct_moved,pct_students,pct_serial,pct_business,prop_landlord_serial,pop_density,dissim_wb,dissim_wh,cowhite,percent_white
fairfax city and county,6530,19734,1144474,428352,130624,337536,5.9,57262,86994,79838,5523,17520,2331,791,505,391.0204487039921,NA,NA,NA,0.04999081332680059,30.49454654116241,5.003346515517173,0.3153280542986425,25.77325085324232,6.975955766579232,27.987230161143206,33.933933933933936,0.21664521664521663,2926.890406354126,0.861164923698159,0.5178960658779336,556692,48.64173410667259
harrisonburg and rockingham county,850,3180,84739,36095,7955,20751,9.6,2783,4278,5233,739,2440,760,345,110,849.7934689352434,NA,NA,NA,0.10685103708359522,22.039063582213604,3.2842020793259303,0.7343342036553525,20.615873933786325,6.175432799537403,23.238993710691823,45.39473684210527,0.14473684210526316,99.7171702274607,0.5524011084583165,0.6208899108770973,103882,122.59054272530948
lexington and rockbridge county,103,348,22578,11315,2060,4774,8,714,875,1184,47,164,181,62,24,596.5483984270044,NA,NA,NA,0.05,18.205921343349534,3.1623704491097526,0.6675977653631285,18.328445747800586,5.244042873593764,13.505747126436782,34.25414364640884,0.13259668508287292,37.84772544781665,0.6271989492104815,0.5838202585629733,26011,115.205066879263
newport news county and city,8432,25460,184774,81850,39346,88991,15.1,19179,16254,14528,9753,23595,1558,741,383,68.99591971098245,NA,NA,NA,0.21430386824581915,48.07086133170434,10.3797071016485,0.5125648185081771,18.264768347360967,7.862578068342948,38.30714846818539,47.5609756097561,0.24582798459563543,2678.0424230012623,0.387300424332928,0.425091738786293,73541,39.80051305919664
norton and wise county,224,748,35727,16659,3636,8515,17.7,1155,2087,1759,78,474,254,87,16,403.43980344928997,NA,NA,NA,0.061606160616061605,21.82603997839006,3.232849105718364,1.1702127659574468,24.509688784497946,4.923447252778011,10.427807486631016,34.25196850393701,0.06299212598425197,88.555962239087,0.5717715215725083,0.3310946402974948,35780,100.14834718840093
williamsburg and james city county,937,3005,15564,5767,2358,5092,14.1,1355,1633,6276,1299,2715,399,179,83,8.9381762024312,NA,NA,NA,0.39737065309584396,40.8878099531819,8.705988177846312,0.6008830022075056,32.06991358994501,40.32382420971473,43.2279534109817,44.86215538847117,0.20802005012531327,1741.2948287779966,0.6319023334852423,0.4601039017176477,68490,440.05397070161916
accomack county,167,528,33326,21897,4221,10015,14.9,1334,1644,1118,67,259,237,65,20,449.31978567777975,Accomack General District Court,001,51001,0.039564084340203746,19.276613234689684,4.002880633739422,1.0114345114345114,16.415376934598104,3.3547380423693216,12.68939393939394,27.42616033755274,0.08438818565400844,74.16989205077883,0.3267344326784466,0.4759361286260544,19423,58.28182200084019
albemarle county,1038,3315,113683,48360,15344,31524,6.8,6865,9174,12809,961,3037,418,213,74,720.4718508166119,Albemarle General District Court,003,51003,0.06764859228362878,31.728701406120763,6.038721708610787,0.46611143021252155,29.10163684811572,11.267295901761917,28.989441930618405,50.95693779904307,0.17703349282296652,157.78964836883924,0.37749973527469755,0.4194033312223696,84141,74.01370477556011
alexandria city,3407,11015,156788,80570,43675,87640,8.4,19392,22419,9456,3818,10641,481,280,172,14.935331942258731,Alexandria General District Court,510,51510,0.0780080137378363,54.207521409954076,12.368293491848865,0.29524640209332753,25.58078502966682,6.031073806668878,34.66182478438493,58.21205821205822,0.3575883575883576,10497.791452252672,0.4358922934129309,0.4294981521383597,77751,49.58989208357782
alleghany county,164,504,14962,7916,1222,2955,13.1,457,534,543,105,283,165,50,19,446.57216417326396,Alleghany General District Court,005,51005,0.1342062193126023,15.437089439110663,3.054404491378158,0.7655786350148368,18.071065989847714,3.6291939580270016,20.833333333333336,30.303030303030305,0.11515151515151516,33.50410348056299,0.3747999482780184,0.4334054897372142,13674,91.39152519716616
amelia county,22,102,13342,5770,996,2641,11.1,416,1023,277,5,37,78,20,5,355.36045320053785,Amelia General District Court,007,51007,0.02208835341365462,17.261698440207972,3.1179733173437265,0.9400386847195358,38.73532752745172,2.0761505021735873,4.901960784313726,25.64102564102564,0.0641025641025641,37.54497688146185,0.1880437219180946,0.20799689617443756,9778,73.28736321391096
amherst county,168,731,31385,14301,2743,6043,10.8,1099,992,1729,219,479,296,128,54,473.9614946493383,Amherst General District Court,009,51009,0.06124681006197594,19.18047688972799,3.5016727736179707,0.8445336008024072,16.415687572397815,5.509001115182412,29.958960328317374,43.24324324324324,0.18243243243243243,66.21845941983173,0.30504989701624685,0.2011383637292428,23205,73.93659391429026
appomattox county,43,163,16424,7380,1471,3734,12.3,355,601,575,45,95,84,24,15,334.2235499074301,Appomattox General District Court,011,51011,0.029231815091774305,19.932249322493227,2.1614710180224064,0.8777335984095428,16.095340117836102,3.500974184120799,27.607361963190186,28.57142857142857,0.17857142857142858,49.14076223697868,0.05964375521948466,0.32940792265892976,12498,76.09595713589869
arlington county,2486,6784,235463,120746,64860,120731,7.1,25025,37555,17126,2183,6484,606,380,171,25.997413656070464,Arlington General District Court,013,51013,0.038328707986432314,53.71606512845146,10.627996755328862,0.29264214046822745,31.10634385534784,7.273329567702781,32.17865566037736,62.70627062706271,0.28217821782178215,9057.170190659284,0.4937542306239503,0.32947177580802045,138514,58.82622747522965
augusta county,396,1099,77713,32890,6452,14051,7.3,2471,2510,2841,230,754,391,135,53,967.0735019979435,Augusta General District Court,015,51015,0.06137631742095474,19.61690483429614,3.1796481927090703,0.766497461928934,17.863497259981497,3.6557590107189273,20.928116469517743,34.52685421994885,0.13554987212276215,80.3589384255151,0.5072692836972419,0.44056221715956545,68690,88.3893299705326
bath county,5,18,4123,3336,438,1155,21.1,59,23,142,NA,6,16,6,NA,529.2016758687038,Bath General District Court,017,51017,0.01141552511415525,13.129496402877697,1.4309968469560999,0.9892086330935251,1.9913419913419914,3.444094106233325,NA,37.5,NA,7.790980618555196,0.03325008857357656,0.4115738625122341,3733,90.5408682997817
bedford county,223,756,80254,37383,5162,11591,8.1,2062,2694,4053,119,402,453,165,64,760.1041695905861,Bedford General District Court,019,51019,0.04320030995738086,13.808415589974052,2.569342338076607,0.7549407114624506,23.242170649641963,5.050215565579286,15.74074074074074,36.423841059602644,0.141280353200883,105.58289667484274,0.31706214180023656,0.29486252274127284,68692,85.59324145836968
bland county,9,23,6211,3205,449,1238,12.7,39,216,117,NA,6,20,4,NA,357.6451046242259,Bland General District Court,021,51021,0.0200445434298441,14.009360374414975,0.6279182096280792,0.7868663594470046,17.447495961227787,1.8837546288842377,NA,20,NA,17.36637778539101,0.32748942714340634,0.3830449826989619,5780,93.06069876026405
botetourt county,90,251,33875,15010,1860,4051,6.1,489,680,1054,41,171,106,39,12,541.2762220799393,Botetourt General District Court,023,51023,0.04838709677419355,12.391738840772819,1.4435424354243542,0.5400340715502555,16.785978770673907,3.111439114391144,16.334661354581673,36.79245283018868,0.11320754716981132,62.58357307814107,0.30497822766711075,0.2687497275979707,30773,90.84280442804427
bristol city,269,919,17024,8654,2700,5585,18.3,1067,975,776,122,393,216,71,26,12.871190025931007,Bristol General District Court,520,51520,0.09962962962962962,31.1994453431939,6.267622180451128,0.5989180834621329,17.457475380483437,4.55827067669173,13.275299238302502,32.870370370370374,0.12037037037037036,1322.6438243629775,0.4290581688977157,0.21802641975516504,14524,85.31484962406014
brunswick county,98,276,15868,7935,1755,4242,15.3,590,853,752,75,130,114,29,14,566.2400170873372,Brunswick General District Court,025,51025,0.05584045584045584,22.117202268431,3.718174943282077,1.2033426183844012,20.108439415370107,4.7390975548273255,27.173913043478258,25.438596491228072,0.12280701754385964,28.023452107152135,0.2745630385019569,0.3733534458670729,6498,40.95034030753718
buchanan county,18,82,19857,10340,1313,3578,23.9,436,267,547,6,23,69,17,5,502.8543926514566,Buchanan General District Court,027,51027,0.013709063214013708,12.69825918762089,2.1956992496348895,1.7623762376237624,7.462269424259363,2.754696076950194,7.317073170731707,24.637681159420293,0.07246376811594203,39.48856824198706,0.5595483580746738,0.5508744137571652,19000,95.68414161252959
buckingham county,38,172,16914,7233,1429,3774,13.7,491,695,682,17,62,128,28,8,579.6225241343773,Buckingham General District Court,029,51029,0.026592022393282014,19.75667081432324,2.9029206574435378,1,18.415474297827238,4.032162705451105,9.883720930232558,21.875,0.0625,29.181060596738867,0.27680195698112264,0.32954621363497594,10279,60.77214142130779
buena vista city,56,206,6612,2944,1118,2527,22,458,756,952,45,130,91,35,18,6.438157766053056,Buena Vista General District Court,530,51530,0.05008944543828265,37.97554347826087,6.926799758015729,0.7389196675900277,29.916897506925206,14.398064125831823,21.844660194174757,38.46153846153847,0.1978021978021978,1027.0018598897304,0.14606989288028344,0.3396443928340023,5659,85.58681185722928
campbell county,531,1905,55398,25363,5403,11984,10.1,1711,2053,3021,797,1457,511,204,136,503.2073259332736,Campbell General District Court,031,51031,0.0982787340366463,21.302685013602492,3.0885591537600634,0.9342825848849945,17.13117489986649,5.453265460846962,41.83727034120735,39.92172211350293,0.26614481409001955,110.08981218080656,0.2090927126798392,0.4298560481620656,42795,77.25008123036933
