county_collapsed,dissim_wb,dissim_wh,cowhite
Accomack County,0.27803600899132214,0.43345197652416523,19613
Albemarle County,0.3530133848272743,0.351223040225794,82656
Alexandria city,0.42902155737855785,0.435276410877609,81852
Alleghany County,0.2897731268928643,0.44077135781095966,13863
Amelia County,0.06541976610057632,0.46281338508339454,9533
Amherst County,0.19783966976961637,0.3305954109353414,23733
Appomattox County,0.03677011892997872,0.1585794888815134,12052
Arlington County,0.4882634234526855,0.3499060438592843,143563
Augusta County,0.4915275965959215,0.35984328954448463,68122
Bath County,0,0,3841
Bedford County,0.26726816125117026,0.3314569845585942,68746
Bland County,0.3762242054927374,0.40143428952635085,5996
Botetourt County,0.3266399244926852,0.25482270438907256,30970
Bristol city,0.12481532653386135,0.4328548430372954,14908
Brunswick County,0.26821774127849596,0.3066983340493963,6731
Buchanan County,0.5060805121429197,0.49880763043482224,20666
Buckingham County,0.1899758825577302,0.13902412530670036,10438
Buena Vista city,0,0,5714
Campbell County,0.20196063121625116,0.43162639468594854,43941
Caroline County,0.1404384822091749,0.3570683842972559,19206
Carroll County,0.5358052563854285,0.39003337611440436,28163
Charles City County,0.16855478346318525,0.25263834271467855,2970
Charlotte County,0.16630794489232031,0.3683553597650514,8172
Charlottesville city,0.342121190953398,0.3576510470336041,30961
Chesapeake city,0.39232040988581723,0.28718920050155644,137813
Chesterfield County,0.38998707603653004,0.4611049837969808,212269
Clarke County,0.048142684251538365,0.3350729724088524,12422
Colonial Heights city,0.3188415331153269,0.25038250669386714,12604
Covington city,0.35016719959763554,0.11868721207518138,4534
Craig County,0,0,5040
Culpeper County,0.27127449466111975,0.3443699765094273,35903
Cumberland County,0.11848471645385825,0.4885592717059436,6223
Danville city,0.33600326124375374,0.3620490558640001,17409
Dickenson County,0.44163847748668245,0.4368410361220769,14401
Dinwiddie County,0.24889185013350398,0.611920360032391,17619
Emporia city,0.46245183457014694,0.5576786403232684,1331
Essex County,0.18458869206018932,0.3976653136135895,6032
Fairfax City and County,0.7265422517909135,0.5238442292690177,594646
Falls Church city,0.2745844212882188,0.28290028870369455,10135
Fauquier County,0.17133174520466077,0.2676152798105159,55749
Floyd County,0.09521857923497268,0.4550599673550493,14640
Fluvanna County,0.22432017237443183,0.25733090004857984,20789
Franklin County,0.359674280963231,0.3291962442540791,48995
Franklin city,0.5896614573530987,0.18366078366078364,3003
Frederick County,0.34775419310034184,0.3046856538999103,72104
Fredericksburg city,0.2961796918113807,0.19560450792544426,17006
Galax city,0.07502622917834406,0.13649007397552215,5154
Giles County,0.38709932229441035,0.2654261559796204,15921
Gloucester County,0.1655916946841222,0.16452777927215306,31586
Goochland County,0.2514567523749894,0.32181743519974115,17776
Grayson County,0.45181304835978964,0.2700482197515084,14117
Greene County,0.17068777047545444,0.17681197972254767,16130
Greensville County,0.11216722945334935,0.37814035867405627,4192
Halifax County,0.27569097661033515,0.4627596350358722,20637
Hampton city,0.376959159151259,0.2821492583965391,51544
Hanover County,0.2575785132760524,0.34533452583513236,88462
Harrisonburg and Rockingham County,0.712034879627643,0.702409227061799,106430
Henrico County,0.5611079044803201,0.4039835763902052,173865
Henry County,0.26861842003185715,0.346953793684492,35831
Highland County,0,0,2189
Hopewell city,0.19806455942098167,0.16685947777732213,10434
Isle of Wight County,0.21304867973991437,0.2943102196553284,25885
King George County,0.15676461787466373,0.23934617259059318,19258
King William County,0.30062496976783615,0.2692498422064466,12811
King and Queen County,0.2807461261740327,0.19314695887871414,4659
Lancaster County,0.14335183312683158,0.36114783275827583,7237
Lee County,0.797720381003477,0.7209215846952213,22247
Lexington and Rockbridge County,0.4471030832597189,0.22861174918819827,26534
Loudoun County,0.28335622198330096,0.3721194019203655,221708
Louisa County,0.23494376308550763,0.30908591091873966,28126
Lunenburg County,0.07548150890970882,0.43140515620948927,7296
Lynchburg city,0.3932592689176009,0.27611987535112953,50230
Madison County,0.024792463629764838,0.014414506044656189,11148
Manassas Park city,0.12131695083528934,0.24884937522223208,5621
Manassas city,0.18978241335620685,0.33548009457259637,16810
Martinsville city,0.35388366517724545,0.481984975883466,5654
Mathews County,0.34042619358604487,0.3629200097601585,7532
Mecklenburg County,0.14338350605349218,0.23277101599846028,18439
Middlesex County,0.24698145178937642,0.23227160677727177,8278
Montgomery County,0.26716958518795336,0.2543165302009245,81718
Nelson County,0.3135054685843329,0.2883061851993891,12025
New Kent County,0.02924248046744589,0.19446323391933656,17121
Newport News County and City,0.4114007980932841,0.3743127178884564,77111
Norfolk city,0.524101863900207,0.31884971818854246,106261
Northampton County,0.12532742424158724,0.0526621378475737,6445
Northumberland County,0.1761813573066272,0.3067341995839688,8499
Norton and Wise County,0.5477738200842658,0.30040449941953595,38718
Nottoway County,0.19583749727935165,0.15112081772372346,8383
Orange County,0.17909834284404885,0.07909598104549137,28117
Page County,0.5313556792500485,0.2438782083099772,22376
Patrick County,0.2162451007654289,0.19665560420443096,15921
Petersburg city,0.3260390541877093,0.45736765367118065,4726
Pittsylvania County,0.229625103588191,0.3015646833070966,45367
Poquoson city,0.30673903211216647,0.16879293687560049,11055
Portsmouth city,0.5146772530974173,0.3828222511792751,35818
Powhatan County,0.5345854922279791,0.3326623995138895,24704
Prince Edward County,0.10884723466663837,0.5202454888789385,14074
Prince George County,0.2095961180571166,0.4252007674833781,20912
Prince William County,0.3677847435078968,0.4523744234721179,198161
Pulaski County,0.19824315539291856,0.4261125407357655,31029
Radford city,0.3614155344965987,0.2541558435545184,14735
Rappahannock County,0.18511580030880084,0.09027033521566741,6525
Richmond County,0.009540459855719163,0.17383410560439752,5380
Richmond city,0.5834709022996993,0.6703701124682198,92454
Roanoke County,0.3043066291669718,0.3661680110213459,80507
Roanoke city,0.5895600260026743,0.34927687998012363,58052
Russell County,0.47190220401915917,0.3813585436462878,26248
Salem city,0.41735747696012604,0.262555222343683,21593
Scott County,0.41669590479000457,0.384670953585431,21163
Shenandoah County,0.23772475214249705,0.33449063259599304,37870
Smyth County,0.4602089489913915,0.33664328530675625,28960
Southampton County,0.14808790337182776,0.28428863378219704,10913
Spotsylvania County,0.20981817945747971,0.21514607143251654,90457
Stafford County,0.22844211338809106,0.2974624846533081,90361
Staunton city,0.16391051074460863,0.21337049389441795,19805
Suffolk city,0.4034933407436941,0.3214276721472502,44415
Surry County,0.02679314989463419,0.22934078117004947,3432
Sussex County,0.15527405466997143,0.3433379560486452,4360
Tazewell County,0.4227987149391802,0.5075026203439108,39081
Virginia Beach city,0.3758066266778971,0.3305727948898102,277823
Warren County,0.5043084489978781,0.28181326893186287,34266
Washington County,0.45353088226327665,0.4809422734316801,51546
